,curated_organism_name,accession,length,superkingdom_code,genus_code,species_code,superkingdom_name,genus_name,species_name,taxid,species_taxid,GCF_accession,GCF_accession_without_version,filename,num_contigs,info,refseq_organism_name,refseq_full_organism_name,bacsort_organism_name,bioproject,biosample,refseq_category,infraspecific_name,assembly_level,asm_name,submitter,ftp_path
550,Erwinia endophytica,Erwinia_endophytica/0000.fna.gz,5115519,2,551,1563158,Bacteria,Erwinia,Erwinia endophytica,1563158,1563158,Erwinia_endophytica/0000.fna.gz,Erwinia_endophytica/0000.fna.gz,Erwinia_endophytica/0000.fna.gz,1,,Erwinia endophytica,Erwinia endophytica,Erwinia endophytica,,,,,,,,
551,Erwinia gerundensis,Erwinia_gerundensis/0000.fna.gz,4481256,2,551,1619313,Bacteria,Erwinia,Erwinia gerundensis,1619313,1619313,Erwinia_gerundensis/0000.fna.gz,Erwinia_gerundensis/0000.fna.gz,Erwinia_gerundensis/0000.fna.gz,1,,Erwinia gerundensis,Erwinia gerundensis,Erwinia gerundensis,,,,,,,,
552,Erwinia iniecta,Erwinia_iniecta/0000.fna.gz,4783533,2,551,1560201,Bacteria,Erwinia,Erwinia iniecta,1560201,1560201,Erwinia_iniecta/0000.fna.gz,Erwinia_iniecta/0000.fna.gz,Erwinia_iniecta/0000.fna.gz,1,,Erwinia iniecta,Erwinia iniecta,Erwinia iniecta,,,,,,,,
553,Erwinia mallotivora,Erwinia_mallotivora/0000.fna.gz,4640069,2,551,69222,Bacteria,Erwinia,Erwinia mallotivora,69222,69222,Erwinia_mallotivora/0000.fna.gz,Erwinia_mallotivora/0000.fna.gz,Erwinia_mallotivora/0000.fna.gz,1,,Erwinia mallotivora,Erwinia mallotivora,Erwinia mallotivora,,,,,,,,
554,Erwinia oleae,Erwinia_oleae/0000.fna.gz,4254300,2,551,796334,Bacteria,Erwinia,Erwinia oleae,796334,796334,Erwinia_oleae/0000.fna.gz,Erwinia_oleae/0000.fna.gz,Erwinia_oleae/0000.fna.gz,1,,Erwinia oleae,Erwinia oleae,Erwinia oleae,,,,,,,,
555,Erwinia oleae,Erwinia_oleae/0001.fna.gz,4744408,2,551,796334,Bacteria,Erwinia,Erwinia oleae,796334,796334,Erwinia_oleae/0001.fna.gz,Erwinia_oleae/0001.fna.gz,Erwinia_oleae/0001.fna.gz,1,,Erwinia oleae,Erwinia oleae,Erwinia oleae,,,,,,,,
556,Erwinia persicina,Erwinia_persicina/0000.fna.gz,5070450,2,551,55211,Bacteria,Erwinia,Erwinia persicina,55211,55211,Erwinia_persicina/0000.fna.gz,Erwinia_persicina/0000.fna.gz,Erwinia_persicina/0000.fna.gz,1,,Erwinia persicina,Erwinia persicina,Erwinia persicina,,,,,,,,
557,Erwinia piriflorinigrans,Erwinia_piriflorinigrans/0000.fna.gz,3930655,2,551,665097,Bacteria,Erwinia,Erwinia piriflorinigrans,665097,665097,Erwinia_piriflorinigrans/0000.fna.gz,Erwinia_piriflorinigrans/0000.fna.gz,Erwinia_piriflorinigrans/0000.fna.gz,1,,Erwinia piriflorinigrans,Erwinia piriflorinigrans,Erwinia piriflorinigrans,,,,,,,,
558,Erwinia psidii,Erwinia_psidii/0000.fna.gz,4503018,2,551,69224,Bacteria,Erwinia,Erwinia psidii,69224,69224,Erwinia_psidii/0000.fna.gz,Erwinia_psidii/0000.fna.gz,Erwinia_psidii/0000.fna.gz,1,,Erwinia psidii,Erwinia psidii,Erwinia psidii,,,,,,,,
559,Erwinia pyrifoliae,Erwinia_pyrifoliae/0000.fna.gz,4075681,2,551,79967,Bacteria,Erwinia,Erwinia pyrifoliae,79967,79967,Erwinia_pyrifoliae/0000.fna.gz,Erwinia_pyrifoliae/0000.fna.gz,Erwinia_pyrifoliae/0000.fna.gz,1,,Erwinia pyrifoliae,Erwinia pyrifoliae,Erwinia pyrifoliae,,,,,,,,
560,Erwinia pyrifoliae,Erwinia_pyrifoliae/0001.fna.gz,3957675,2,551,79967,Bacteria,Erwinia,Erwinia pyrifoliae,79967,79967,Erwinia_pyrifoliae/0001.fna.gz,Erwinia_pyrifoliae/0001.fna.gz,Erwinia_pyrifoliae/0001.fna.gz,1,,Erwinia pyrifoliae,Erwinia pyrifoliae,Erwinia pyrifoliae,,,,,,,,
561,Erwinia tasmaniensis,Erwinia_tasmaniensis/0000.fna.gz,4067864,2,551,338565,Bacteria,Erwinia,Erwinia tasmaniensis,338565,338565,Erwinia_tasmaniensis/0000.fna.gz,Erwinia_tasmaniensis/0000.fna.gz,Erwinia_tasmaniensis/0000.fna.gz,1,,Erwinia tasmaniensis,Erwinia tasmaniensis,Erwinia tasmaniensis,,,,,,,,
562,Erwinia toletana,Erwinia_toletana/0000.fna.gz,5272860,2,551,92490,Bacteria,Erwinia,Erwinia toletana,92490,92490,Erwinia_toletana/0000.fna.gz,Erwinia_toletana/0000.fna.gz,Erwinia_toletana/0000.fna.gz,1,,Erwinia toletana,Erwinia toletana,Erwinia toletana,,,,,,,,
563,Erwinia tracheiphila,Erwinia_tracheiphila/0000.fna.gz,5015962,2,551,65700,Bacteria,Erwinia,Erwinia tracheiphila,65700,65700,Erwinia_tracheiphila/0000.fna.gz,Erwinia_tracheiphila/0000.fna.gz,Erwinia_tracheiphila/0000.fna.gz,1,,Erwinia tracheiphila,Erwinia tracheiphila,Erwinia tracheiphila,,,,,,,,
564,Erwinia typographi,Erwinia_typographi/0000.fna.gz,5749517,2,551,371042,Bacteria,Erwinia,Erwinia typographi,371042,371042,Erwinia_typographi/0000.fna.gz,Erwinia_typographi/0000.fna.gz,Erwinia_typographi/0000.fna.gz,1,,Erwinia typographi,Erwinia typographi,Erwinia typographi,,,,,,,,
565,Escherichia albertii,Escherichia_albertii/0000.fna.gz,4746590,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0000.fna.gz,Escherichia_albertii/0000.fna.gz,Escherichia_albertii/0000.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
566,Escherichia albertii,Escherichia_albertii/0001.fna.gz,4659709,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0001.fna.gz,Escherichia_albertii/0001.fna.gz,Escherichia_albertii/0001.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
567,Escherichia albertii,Escherichia_albertii/0002.fna.gz,5044275,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0002.fna.gz,Escherichia_albertii/0002.fna.gz,Escherichia_albertii/0002.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
568,Escherichia albertii,Escherichia_albertii/0003.fna.gz,4701875,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0003.fna.gz,Escherichia_albertii/0003.fna.gz,Escherichia_albertii/0003.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
569,Escherichia albertii,Escherichia_albertii/0004.fna.gz,4898975,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0004.fna.gz,Escherichia_albertii/0004.fna.gz,Escherichia_albertii/0004.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
570,Escherichia albertii,Escherichia_albertii/0005.fna.gz,4700514,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0005.fna.gz,Escherichia_albertii/0005.fna.gz,Escherichia_albertii/0005.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
571,Escherichia albertii,Escherichia_albertii/0006.fna.gz,5136766,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0006.fna.gz,Escherichia_albertii/0006.fna.gz,Escherichia_albertii/0006.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
572,Escherichia albertii,Escherichia_albertii/0007.fna.gz,5013639,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0007.fna.gz,Escherichia_albertii/0007.fna.gz,Escherichia_albertii/0007.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
573,Escherichia albertii,Escherichia_albertii/0008.fna.gz,4796871,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0008.fna.gz,Escherichia_albertii/0008.fna.gz,Escherichia_albertii/0008.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
574,Escherichia albertii,Escherichia_albertii/0009.fna.gz,5097144,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0009.fna.gz,Escherichia_albertii/0009.fna.gz,Escherichia_albertii/0009.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
575,Escherichia albertii,Escherichia_albertii/0010.fna.gz,4770174,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0010.fna.gz,Escherichia_albertii/0010.fna.gz,Escherichia_albertii/0010.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
576,Escherichia albertii,Escherichia_albertii/0011.fna.gz,4715204,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0011.fna.gz,Escherichia_albertii/0011.fna.gz,Escherichia_albertii/0011.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
577,Escherichia albertii,Escherichia_albertii/0012.fna.gz,4958535,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0012.fna.gz,Escherichia_albertii/0012.fna.gz,Escherichia_albertii/0012.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
578,Escherichia albertii,Escherichia_albertii/0013.fna.gz,4853676,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0013.fna.gz,Escherichia_albertii/0013.fna.gz,Escherichia_albertii/0013.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
579,Escherichia albertii,Escherichia_albertii/0014.fna.gz,4571045,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0014.fna.gz,Escherichia_albertii/0014.fna.gz,Escherichia_albertii/0014.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
580,Escherichia albertii,Escherichia_albertii/0015.fna.gz,4856970,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0015.fna.gz,Escherichia_albertii/0015.fna.gz,Escherichia_albertii/0015.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
581,Escherichia albertii,Escherichia_albertii/0016.fna.gz,5023046,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0016.fna.gz,Escherichia_albertii/0016.fna.gz,Escherichia_albertii/0016.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
582,Escherichia albertii,Escherichia_albertii/0017.fna.gz,4723578,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0017.fna.gz,Escherichia_albertii/0017.fna.gz,Escherichia_albertii/0017.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
583,Escherichia albertii,Escherichia_albertii/0018.fna.gz,4730877,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0018.fna.gz,Escherichia_albertii/0018.fna.gz,Escherichia_albertii/0018.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
584,Escherichia albertii,Escherichia_albertii/0019.fna.gz,4677254,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0019.fna.gz,Escherichia_albertii/0019.fna.gz,Escherichia_albertii/0019.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
585,Escherichia albertii,Escherichia_albertii/0020.fna.gz,5022013,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0020.fna.gz,Escherichia_albertii/0020.fna.gz,Escherichia_albertii/0020.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
586,Escherichia albertii,Escherichia_albertii/0021.fna.gz,4591305,2,561,208962,Bacteria,Escherichia,Escherichia albertii,208962,208962,Escherichia_albertii/0021.fna.gz,Escherichia_albertii/0021.fna.gz,Escherichia_albertii/0021.fna.gz,1,,Escherichia albertii,Escherichia albertii,Escherichia albertii,,,,,,,,
587,Escherichia coli,Escherichia_coli/0000.fna.gz,5353620,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0000.fna.gz,Escherichia_coli/0000.fna.gz,Escherichia_coli/0000.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
588,Escherichia coli,Escherichia_coli/0001.fna.gz,5680429,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0001.fna.gz,Escherichia_coli/0001.fna.gz,Escherichia_coli/0001.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
589,Escherichia coli,Escherichia_coli/0002.fna.gz,5831209,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0002.fna.gz,Escherichia_coli/0002.fna.gz,Escherichia_coli/0002.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
590,Escherichia coli,Escherichia_coli/0003.fna.gz,5456795,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0003.fna.gz,Escherichia_coli/0003.fna.gz,Escherichia_coli/0003.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
591,Escherichia coli,Escherichia_coli/0004.fna.gz,6156163,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0004.fna.gz,Escherichia_coli/0004.fna.gz,Escherichia_coli/0004.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
592,Escherichia coli,Escherichia_coli/0005.fna.gz,5727407,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0005.fna.gz,Escherichia_coli/0005.fna.gz,Escherichia_coli/0005.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
593,Escherichia coli,Escherichia_coli/0006.fna.gz,6162737,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0006.fna.gz,Escherichia_coli/0006.fna.gz,Escherichia_coli/0006.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
594,Escherichia coli,Escherichia_coli/0007.fna.gz,5477116,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0007.fna.gz,Escherichia_coli/0007.fna.gz,Escherichia_coli/0007.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
595,Escherichia coli,Escherichia_coli/0008.fna.gz,5489660,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0008.fna.gz,Escherichia_coli/0008.fna.gz,Escherichia_coli/0008.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
596,Escherichia coli,Escherichia_coli/0009.fna.gz,5359234,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0009.fna.gz,Escherichia_coli/0009.fna.gz,Escherichia_coli/0009.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
597,Escherichia coli,Escherichia_coli/0010.fna.gz,5355323,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0010.fna.gz,Escherichia_coli/0010.fna.gz,Escherichia_coli/0010.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
598,Escherichia coli,Escherichia_coli/0011.fna.gz,5144306,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0011.fna.gz,Escherichia_coli/0011.fna.gz,Escherichia_coli/0011.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
599,Escherichia coli,Escherichia_coli/0012.fna.gz,4853778,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0012.fna.gz,Escherichia_coli/0012.fna.gz,Escherichia_coli/0012.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
600,Escherichia coli,Escherichia_coli/0013.fna.gz,5788999,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0013.fna.gz,Escherichia_coli/0013.fna.gz,Escherichia_coli/0013.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
601,Escherichia coli,Escherichia_coli/0014.fna.gz,4840153,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0014.fna.gz,Escherichia_coli/0014.fna.gz,Escherichia_coli/0014.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
602,Escherichia coli,Escherichia_coli/0015.fna.gz,5209925,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0015.fna.gz,Escherichia_coli/0015.fna.gz,Escherichia_coli/0015.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
603,Escherichia coli,Escherichia_coli/0016.fna.gz,5496237,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0016.fna.gz,Escherichia_coli/0016.fna.gz,Escherichia_coli/0016.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
604,Escherichia coli,Escherichia_coli/0017.fna.gz,5471138,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0017.fna.gz,Escherichia_coli/0017.fna.gz,Escherichia_coli/0017.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
605,Escherichia coli,Escherichia_coli/0018.fna.gz,5514343,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0018.fna.gz,Escherichia_coli/0018.fna.gz,Escherichia_coli/0018.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
606,Escherichia coli,Escherichia_coli/0019.fna.gz,4917326,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0019.fna.gz,Escherichia_coli/0019.fna.gz,Escherichia_coli/0019.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
607,Escherichia coli,Escherichia_coli/0020.fna.gz,4999728,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0020.fna.gz,Escherichia_coli/0020.fna.gz,Escherichia_coli/0020.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
608,Escherichia coli,Escherichia_coli/0021.fna.gz,5447056,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0021.fna.gz,Escherichia_coli/0021.fna.gz,Escherichia_coli/0021.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
609,Escherichia coli,Escherichia_coli/0022.fna.gz,5019692,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0022.fna.gz,Escherichia_coli/0022.fna.gz,Escherichia_coli/0022.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
610,Escherichia coli,Escherichia_coli/0023.fna.gz,5539654,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0023.fna.gz,Escherichia_coli/0023.fna.gz,Escherichia_coli/0023.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
611,Escherichia coli,Escherichia_coli/0024.fna.gz,4643920,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0024.fna.gz,Escherichia_coli/0024.fna.gz,Escherichia_coli/0024.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
612,Escherichia coli,Escherichia_coli/0025.fna.gz,5233365,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0025.fna.gz,Escherichia_coli/0025.fna.gz,Escherichia_coli/0025.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
613,Escherichia coli,Escherichia_coli/0026.fna.gz,5737294,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0026.fna.gz,Escherichia_coli/0026.fna.gz,Escherichia_coli/0026.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
614,Escherichia coli,Escherichia_coli/0027.fna.gz,5181904,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0027.fna.gz,Escherichia_coli/0027.fna.gz,Escherichia_coli/0027.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
615,Escherichia coli,Escherichia_coli/0028.fna.gz,5295071,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0028.fna.gz,Escherichia_coli/0028.fna.gz,Escherichia_coli/0028.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
616,Escherichia coli,Escherichia_coli/0029.fna.gz,4936245,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0029.fna.gz,Escherichia_coli/0029.fna.gz,Escherichia_coli/0029.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
617,Escherichia coli,Escherichia_coli/0030.fna.gz,5242268,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0030.fna.gz,Escherichia_coli/0030.fna.gz,Escherichia_coli/0030.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
618,Escherichia coli,Escherichia_coli/0031.fna.gz,4987038,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0031.fna.gz,Escherichia_coli/0031.fna.gz,Escherichia_coli/0031.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
619,Escherichia coli,Escherichia_coli/0032.fna.gz,4973820,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0032.fna.gz,Escherichia_coli/0032.fna.gz,Escherichia_coli/0032.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
620,Escherichia coli,Escherichia_coli/0033.fna.gz,5109550,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0033.fna.gz,Escherichia_coli/0033.fna.gz,Escherichia_coli/0033.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
621,Escherichia coli,Escherichia_coli/0034.fna.gz,5507665,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0034.fna.gz,Escherichia_coli/0034.fna.gz,Escherichia_coli/0034.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
622,Escherichia coli,Escherichia_coli/0035.fna.gz,5844285,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0035.fna.gz,Escherichia_coli/0035.fna.gz,Escherichia_coli/0035.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
623,Escherichia coli,Escherichia_coli/0036.fna.gz,5887450,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0036.fna.gz,Escherichia_coli/0036.fna.gz,Escherichia_coli/0036.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
624,Escherichia coli,Escherichia_coli/0037.fna.gz,5050095,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0037.fna.gz,Escherichia_coli/0037.fna.gz,Escherichia_coli/0037.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
625,Escherichia coli,Escherichia_coli/0038.fna.gz,5198299,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0038.fna.gz,Escherichia_coli/0038.fna.gz,Escherichia_coli/0038.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
626,Escherichia coli,Escherichia_coli/0039.fna.gz,5066380,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0039.fna.gz,Escherichia_coli/0039.fna.gz,Escherichia_coli/0039.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
627,Escherichia coli,Escherichia_coli/0040.fna.gz,5080162,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0040.fna.gz,Escherichia_coli/0040.fna.gz,Escherichia_coli/0040.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
628,Escherichia coli,Escherichia_coli/0041.fna.gz,4916581,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0041.fna.gz,Escherichia_coli/0041.fna.gz,Escherichia_coli/0041.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
629,Escherichia coli,Escherichia_coli/0042.fna.gz,4617802,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0042.fna.gz,Escherichia_coli/0042.fna.gz,Escherichia_coli/0042.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
630,Escherichia coli,Escherichia_coli/0043.fna.gz,4890532,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0043.fna.gz,Escherichia_coli/0043.fna.gz,Escherichia_coli/0043.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
631,Escherichia coli,Escherichia_coli/0044.fna.gz,5282039,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0044.fna.gz,Escherichia_coli/0044.fna.gz,Escherichia_coli/0044.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
632,Escherichia coli,Escherichia_coli/0045.fna.gz,5262717,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0045.fna.gz,Escherichia_coli/0045.fna.gz,Escherichia_coli/0045.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
633,Escherichia coli,Escherichia_coli/0046.fna.gz,5008049,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0046.fna.gz,Escherichia_coli/0046.fna.gz,Escherichia_coli/0046.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
634,Escherichia coli,Escherichia_coli/0047.fna.gz,4844877,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0047.fna.gz,Escherichia_coli/0047.fna.gz,Escherichia_coli/0047.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
635,Escherichia coli,Escherichia_coli/0048.fna.gz,4679352,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0048.fna.gz,Escherichia_coli/0048.fna.gz,Escherichia_coli/0048.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
636,Escherichia coli,Escherichia_coli/0049.fna.gz,4984626,2,561,562,Bacteria,Escherichia,Escherichia coli,562,562,Escherichia_coli/0049.fna.gz,Escherichia_coli/0049.fna.gz,Escherichia_coli/0049.fna.gz,1,,Escherichia coli,Escherichia coli,Escherichia coli,,,,,,,,
